Date,Text,Processed_Text,Score,Username,Sentiment
2025-03-08 05:36:28,Halo moonton tolong benerin matchnya gua ngelus 3kali cuma 1 kali dapet tim kompak gapernah dapet jago dapetnya yg drak sistem mulu udah make saber roan di honor tapi gabisa nyulik musuh ngeselin banget apalagi lagi puasa biasanya yg waras ditim cuma 2org itupun yg gendongnya gua gua make Benedetta tank udah bener bisa lok dan bisa tb tapi yg gaguna roomnya soalnya ngangkat belerik udah dapet hero meta kek hanzo masih PAOK gabisa lok musuh juga udah mah gadoyan turtle dapet cape udah sigitu aja,halo moonton benerin matchnya gua ngelus 3kali 1 kali dapet tim kompak gapernah dapet jago dapetnya yg drak sistem mulu udah make saber roan honor gabisa nyulik musuh ngeselin banget puasa yg waras tim 2org itu yg gendong gua gua make benedetta tank udah bener lok tb yg gaguna roomnya ngangkat berik udah dapet hero meta kek hanzo paok gabisa lok musuh udah mah gadoyan turtle dapet cape udah sigitu aja,5,Rasita Crb,Positif
2025-03-08 05:35:40,Gamenya seru tapi diperbaiki kadang kalo main dapat team Gak kompak misalnya expnya dua orang gak ngotak game kek babi baru aja download,gamenya seru baik kadang kalo main team gak kompak expnya orang gak ngotak game kek babi aja download,2,Haji Ugat,Negatif
2025-03-08 05:34:49,Saya telah bermain kama tapi kenapa saya dikasih team yang tidak berkontribusi dalam pertandingan begini kah cara nya tolong perbaiki game nya satu lagi tolong perbaiki matcmaking nya bisa di bedain akun yang darksistem sama yang main nya bagus inget ya tun darksistem hapus kan kalo ga saya pensi.,main kama kasih team kontribusi tanding nya baik game nya baik matcmaking nya bedain akun darksistem main nya bagus inget tun darksistem hapus kalo ga pensi,2,Bonik Niko 82,Negatif
2025-03-08 05:34:21,lain kali kasih tim yg bener! kocak! maen rank kalah mu ! capek saya naikin nya! percuma banget saya push ujung ujungnya defeat !,kali kasih tim yg bener kocak maen rank kalah mu capek naikin nya banget push ujung ujung defeat,1,Haris rahman Haris,Negatif
2025-03-08 05:34:05,harusnya monton jangan membuat game dajal.selalu ada dark sistem memang harus ada dark sistem ya?,monton game dajalselalu dark sistem dark sistem,1,Pramesthi Adhyningrum,Negatif
2025-03-08 05:34:05,"2025 Banyak cheat dan rata"" memakai cheat vip anti BAN , tolong untuk BAN PUSAT KEAMANAN nya di tingkatkan lagi jangan kalah sama yang membuat cheat vip anti BAN",2025 cheat pakai cheat vip anti ban ban pusat aman nya tingkat kalah cheat vip anti ban,1,indo,Negatif
2025-03-08 05:34:00,Halo moonton saya Alumni MLBB,halo moonton alumni mlbb,5,Aldian Gaming,Positif
2025-03-08 05:33:59,"Maen solo dikasih tim gajelas mulu njir cape bet kocak, dahlah buang buang waktu aja game paok",maen solo kasih tim gajelas mulu njir cape bet kocak dah buang buang aja game paok,1,Zikri Supandi,Negatif
2025-03-08 05:33:55,Untuk gamenya bagus banget,gamenya bagus banget,5,Lala Iffah fadhilah,Positif
2025-03-08 05:32:20,Game bagus,game bagus,5,Ade Darmi,Positif
2025-03-08 05:32:08,"Kebanyakan bug yang ada ,lawan ga seimbang",banyak bug lawan ga imbang,1,MAS_ DN (DANI),Negatif
2025-03-08 05:31:46,banyak sistem gelap jir 😹,sistem gelap jir ,4,Eska Febrina Hanjisung,Positif
2025-03-08 05:30:56,Game gak jelas... Makin kesini,game gak kesini,1,Bagus,Negatif
2025-03-08 05:30:25,Megiches di pisah makin MLS main di ML udah gak seruh makin gak seru tinggal tunggu waktu aja untuk uninstal ni aplikasi.dah mulia burikkk,megiches pisah mls main ml udah gak seruh gak seru tinggal tunggu aja uninstal ni aplikasidah mulia burikkk,1,Antho Masamba,Negatif
2025-03-08 05:29:00,"Kenapa sekarang sering lag tiba tiba banget sih,tolong jaringannya diperbaiki agar nyaman saat bermain",lag banget sihtolong jaring baik nyaman main,5,Bayu Arif,Positif
2025-03-08 05:28:54,"Parah, maen game malah nambah stress gara2 banyak player feeder.",parah maen game nambah stress gara2 player feeder,1,LeeBorn BRO,Negatif
2025-03-08 05:28:41,Ge puko drak sistem sabe,ge puko drak sistem sabe,1,Irfan Keluarga tunggal,Negatif
2025-03-08 05:28:38,"Sampe cape gua komen mulu, gada otak emng game satu ini",sampe cape gua komen mulu gada otak emng game,1,Gua Nang,Negatif
2025-03-08 05:28:36,Game nya baguss,game nya baguss,5,Putri Awalia,Positif
2025-03-08 05:28:18,Asik bgt min ya,asik bgt min,5,Adistia,Positif
2025-03-08 05:28:14,"letter to moonton, i always get a bad or unbalanced team, i'm tired of mobile legends, i will delete this game and will report it, that's all, bye",letter to moonton i always get a bad or unbalanced team im tired of mobile legends i will delete this game and will report it thats all bye,1,Ravello Avanza,Negatif
2025-03-08 05:27:35,Cape gw sama system moonton dapet tim bot mulu musuh nya susah hadeh apalah,cape gw system moonton dapet tim bot mulu musuh nya susah hadeh apa,1,Aldi Priama,Negatif
2025-03-08 05:27:34,"Stack di loading screen payah, jaringan tib atiba lag padahal udah double wifi dan peningkat jaringan di aktifkna tapi masih suka lag , dna sistem matchmacking pun ngaco gak seimbang",stack loading screen payah jaring tib atiba lag udah double wifi tingkat jaring aktifkna suka lag dna sistem matchmacking ngaco gak imbang,2,Artin unlove,Negatif
2025-03-08 05:27:14,Bagus game nya,bagus game nya,5,misterius back,Positif
2025-03-08 05:25:11,Game nya bagus kok,game nya bagus,5,Levana Electra,Positif
2025-03-08 05:25:08,"draft kurang seimbang, tim yang tidak seimbang tolong perbaiki moonton sinyal juga kurang stabil",draft imbang tim imbang baik moonton sinyal stabil,3,Radithya Putra Nararya,Netral
2025-03-08 05:23:42,Game nya gak enak banget truss ngelag bangett 🤮🤮🤮🤮🤮🤮,game nya gak enak banget truss ngelag bangett ,1,WZG• Sulut,Negatif
2025-03-08 05:23:22,Game goblok,game goblok,1,Vvs Ner,Negatif
2025-03-08 05:23:06,Game ini bagus bngt kalian harus wajib download ya :),game bagus bngt wajib download,5,orla andya badzlin,Positif
2025-03-08 05:22:38,"seru ajaa, buat moonton jangan kasi aku lawan yang susah yaa",seru ajaa moonton kasi lawan susah yaa,5,Blabla Blabla,Positif
2025-03-08 05:22:06,ini game. jelek. banget pas kalah turun. Rank,game jelek banget pas kalah turun rank,1,BagiBagi Channel,Negatif
2025-03-08 05:22:04,SANGAT LUAR BIASA!!!,,5,Rasyid Faiz,Positif
2025-03-08 05:20:21,ML👍👍✅💯🎉 \___________________/ __/__/_________\__\__ /⭕⭕\________/ ⭕⭕\ |_______🄶🅃🅁 _______| \●●___||___|| ___●●/ @FacemojiKeyboard,ml     ,5,Hokage Ketujuh,Positif
2025-03-08 05:20:08,"Game rusak gw main kalah Mulu, game rusak emang banyak dark sistem lah musuh nya jago lah , game rusak game rusak , geme apa ini kalah Mulu nyesel saya top up terus ,ya elah",game rusak gw main kalah mulu game rusak emang dark sistem musuh nya jago game rusak game rusak geme kalah mulu nyesel top up elah,1,Arbi Arga,Negatif
2025-03-08 05:19:58,"Gamenya bagus tapi ada kurangnya sistemnya nggak banget ngasih musuh pro semua mainnya satu lagi sering banget bermasalah saat main jaringanya nggak bagus sedangkan kalau mti jarigannya bagus gimana tuh, dan satu lagi sistem battle kayak gtu kah ngasih lawan yang udah glory malah ujung2nya kalah .",gamenya bagus kurang sistem banget ngasih musuh pro main banget masalah main jaringanya bagus mti jarigannya bagus gimana tuh sistem battle kayak gtu ngasih lawan udah glory ujung2nya kalah,1,Diki Kurniawan,Negatif
2025-03-08 05:19:19,Banyak bug ULTI tiba tiba cool down,bug ulti cool down,2,Rabbani Farrasanaqi,Negatif
2025-03-08 05:19:12,Saya akan main ini setiap hari,main,5,Rafa Athalla,Positif
2025-03-08 05:18:42,"Gak jelas gacha ga pernah dapet, mahal pula, push rank ditabrakin rank tier atas+dikasih tim sistem hitam, maunya apa sih, berapa hari naik turun naik turun apalah, menjijikan, fix pindah ajalah",gak gacha ga dapet mahal push rank ditabrakin rank tier atasdikasih tim sistem hitam mau sih turun turun apa jijik fix pindah aja,1,Kitt Yaeryu,Negatif
2025-03-08 05:17:37,"Moonton sekarang udah gak enak. main jaringan lag/putus sinyal. di test youtube, tiktok lancar",moonton udah gak enak main jaring lagputus sinyal test youtube tiktok lancar,1,fikri achmad firmansyah,Negatif
2025-03-08 05:16:58,seruu bangetttt plisss,seruu bangetttt plisss,5,Sulis Ar,Positif
2025-03-08 05:16:40,game ini sangat menghibur untuk menghilangkan ke bosanan saat sedang ngabuburit,game hibur hilang bosan ngabuburit,5,Ibnu Aqil,Positif
2025-03-08 05:16:32,Game nya enak,game nya enak,5,ALIF AL KHASYI ALIF AL KHASYI,Positif
2025-03-08 05:16:31,GK enak banyak dark sistem,gk enak dark sistem,1,Evan Rizky,Negatif
2025-03-08 05:16:17,Ini game yang sangat baik untuk kata-kata kita supaya tidak poke macam player publik bujanginam,game katakata poke player publik bujanginam,4,Yasinta Maku,Positif
2025-03-08 05:15:57,Game nya bagus tapi drak sistem tolong jangan mucull lah moonton Game burik,game nya bagus drak sistem mucull moonton game burik,4,Mal Ror,Positif
2025-03-08 05:13:57,Apa lah ni monton gua mvp kalah udah 16 baynin gua gendeng semua darksistem yg di kasih monton Minimal kasih yg spadan spadan aja,ni monton gua mvp kalah udah 16 baynin gua gendeng darksistem yg kasih monton minimal kasih yg spadan spadan aja,1,Andika Suryadi,Negatif
2025-03-08 05:13:56,Mantap men,mantap men,5,Muhammad Nafis,Positif
2025-03-08 05:13:16,ok,,5,zilong tiktok,Positif
2025-03-08 05:13:08,Layar patah patah,layar patah patah,1,Muhamad Nuryani,Negatif
2025-03-08 05:12:20,ni montoon kenapa si lagi enaknya main tiba-tiba crash kukira jaringan yg lag atau penyimpanan penuh eh ternyata update. singkat cerita udah selesai update w mau login lah loading screennya 2 jam nunggu GK kelar kelar bahkan sampe sekarang. udah gitu dari dulu Ampe sekarang mau mengaitkan account google aja susahnya minta ampun ni game emng suka bikin kesel,ni montoon si enak main tibatiba crash kira jaring yg lag simpan penuh eh update singkat cerita udah selesai update w login loading screennya 2 jam nunggu gk kelar kelar sampe udah gitu ampe kait account google aja susah ampun ni game emng suka bikin kesel,1,ahmad fajri,Negatif
2025-03-08 05:11:51,"gk asik, dapat tim kg bener mulu, kalah terus, dapat musuh yg gk sepadan",gk asik tim kg bener mulu kalah musuh yg gk padan,2,Putri Sampit,Negatif
2025-03-08 05:11:04,Senang sekali,senang,5,Rizky Purnomo,Positif
2025-03-08 05:10:50,Apa lah ml ini sinyal penuh semuanya penuh wifi idup data idup tapi gak bisa login jaringan legg gak jelas bat dah pdahal sinyal enak tapi tetep gak bisa login jaringan buruk jaringan burung orng jaringan enak tolong la di perbaiki lagi ini,ml sinyal penuh penuh wifi idup data idup gak login jaring legg gak bat dah pdahal sinyal enak tetep gak login jaring buruk jaring burung orng jaring enak la baik,1,Andi Ajalah,Negatif
2025-03-08 05:10:15,Kenapa selalu di kasih kalah mulu,kasih kalah mulu,1,Fhatin,Negatif
2025-03-08 05:10:12,Gama nya udh bagus banget tapi yang bikin kesel ini jaringan padahal udh pakai wifi atau data seluler yang berforma bagus tpi masih leg parah Hero tidak bisa gerak giliran udah bisa gerak malah masuk turret dan kadang crash di cepat di perbaiki montoon supaya lebih asik dan gak buat para player kecewa berat dan kasih tim yang seimbang kebanyakan drak sistem musuh bisa jago jago sedangkan tim banyak yang drak sistem buat kecewa game ini,gama nya udh bagus banget bikin kesel jaring udh pakai wifi data seluler forma bagus tpi leg parah hero gerak gilir udah gerak masuk turret kadang crash cepat baik montoon asik gak player kecewa berat kasih tim imbang banyak drak sistem musuh jago jago tim drak sistem kecewa game,5,Ganteng Supriadi,Positif
2025-03-08 05:09:57,"Moonton, apakah anda bisa memberikan tim yang layar untuk kami?, berikan kami yang selevel dengan kami jangan di bawah kami. sangat lelah bersama dengan tim yang benar benar bodoh, mohon kepekaannya saya lelah 🙏. Satu lagi bisa hilangkan orang orang yang tier tinggi + top indo yang sgt SOMBONG PADAHAL DIA MAINNYA TOLOLL, TITLE KEBANTU RW ANJG COK SY CAPE SY JAGO JAGO TITLE MAU KUNING BGST CAPE LOH MOONTON, LEPXKENCOEJOW, MOHON BANTUANNYA!",moonton tim layar level lelah tim bodoh mohon peka lelah  hilang orang orang tier top indo sgt sombong main tololl title bantu rw anjg cok sy cape sy jago jago title kuning bgst cape loh moonton lepxkencoejow mohon bantu,3,Nazwa Psw,Netral
2025-03-08 05:09:11,Ngeri,ngeri,5,Reihan,Positif
2025-03-08 05:07:17,Game nya seru banget bisa meningkatkan mood saya,game nya seru banget tingkat mood,5,Faeyza Arfandy,Positif
2025-03-08 05:07:14,Bagus banget 😏😏😏,bagus banget ,5,Rahmat Pais,Positif
2025-03-08 05:06:43,Mending gak usah buat game gw sudah nabung beli kauta mau psuh mythic malah terus di kasi team beban aku juga manusia bukan pro player kalo gak di kasi mythic gw mending main ff,mending gak game gw nabung beli kauta psuh mythic kasi team beban manusia pro player kalo gak kasi mythic gw mending main ff,1,Made Bunga,Negatif
2025-03-08 05:05:26,Menarik........👍🏻👍🏻,tarik,3,Anggi Nofita,Netral
2025-03-08 05:04:56,"Sering macet sndirii,snyal full tapi macett ngak bisa gerakk hahah capek gua",macet sndiriisnyal full macett ngak gerakk hahah capek gua,4,Imelda Elvia,Positif
2025-03-08 05:03:47,Ayo para bocil atau orang dewasa bermain lah game ini Karna sangat lah seru dan bagi moonton nih 1. Moonton masih banyak hal yang harus diperbaiki seperti bugg chett dan lain lain 2. Asal pemilihan Hero oleh player² tolong moonton bikin fitur role agar Hero bisa sebanding dengan role nya 3. Tolong banget ini moonton hilangkan para² darksytem karna mereka hanya ingin menurunkan rank kita,ayo bocil orang dewasa main game karna seru moonton nih 1 moonton baik bugg chett 2 pilih hero player moonton bikin fitur role hero banding role nya 3 banget moonton hilang para darksytem karna turun rank,5,Julio Mokorongan,Positif
2025-03-08 05:03:36,Game ini emg seru tapi musuh nya normalin dikit udh kurang sebintang gua legend dua di kasi lawan kek lawan rank mitik anjir tolong perbaiki,game emg seru musuh nya normalin dikit udh bintang gua legend kasi lawan kek lawan rank mitik anjir baik,1,Deny,Negatif
2025-03-08 05:03:13,"Ini game rusak parah sumpah ,,,masa gak bisa d buka ,,,abis itu d uninstall gak bisa ,,gak jelas banget sumpah",game rusak parah sumpah gak d buka abis d uninstall gak gak banget sumpah,1,Robet Ronaldo,Negatif
2025-03-08 05:02:58,Bgus bgt,bgus bgt,5,Su Warno,Positif
2025-03-08 05:02:37,Gamenya seru semangat terus developer,gamenya seru semangat developer,5,Pantai Lebih,Positif
2025-03-08 05:01:04,Game apa an sih ini playernya egois bot juga,game an sih playernya egois bot,1,Alfan Nailfaz,Negatif
2025-03-08 05:00:20,Seru bingit,seru bingit,5,YULIA SAJA,Positif
2025-03-08 04:59:03,game agus,game agus,5,Chosim Saja,Positif
2025-03-08 04:58:43,Geme nya ngelek dapat dark sistem padahal sinyal nya bagus wajar lah geme bintang satu pas win strek dan naik epik bintang dua pengen bintag satu malah kalah padahal pengen legend coba moonton yang bener bikin geme,geme nya ngelek dark sistem sinyal nya bagus wajar geme bintang pas win strek epik bintang ken bintag kalah ken legend coba moonton bener bikin geme,1,Andre Baba,Negatif
2025-03-08 04:58:15,Alasan gw ngasi bintang 1 jarigan terlalu renda Padahal jarigan disin lancar tidak itu Kebanyak kan player ndrk sytem bikin gw Prustasi kalo semoga game diper baiki,alas gw ngasi bintang 1 jarigan renda jarigan sin lancar banyak player ndrk sytem bikin gw prustasi kalo moga game per baik,1,Muhamad Rafa,Negatif
2025-03-08 04:57:56,Sangat bagus,bagus,5,Syahrul Lmj,Positif
2025-03-08 04:57:51,Permainan nya sangat seru sekali,main nya seru,5,Ahmad Syahal,Positif
2025-03-08 04:57:28,"Sekarang main game ini sangat mengecewakan kalau gak topup jgn harap BS ke mythic,sinyal dan jaringan yg TDK pernah bersahabat, tiap kali mau ke mythic pasti dikasi tim super jelek atau dikasi lag super parah walau pakai wifi dan data",main game kecewa gak topup jgn harap bs mythicsinyal jaring yg tdk sahabat kali mythic kasi tim super jelek kasi lag super parah pakai wifi data,2,Danish Kiram,Negatif
2025-03-08 04:57:03,GAME NYA SANGAT SERU TAPI TOLONG LAH MUSUH NYA JANGAN BENANG TERUS TAPI TOLONG KASIK GRATIS SKIN VENOM ATAU EPIC GRATIS TOLONG YA,game nya seru musuh nya benang kasik gratis skin venom epic gratis,5,Ani Risqiyah,Positif
2025-03-08 04:55:13,"Sumpah gak nyaman banget sama sinyal di ML. Kalo memang jariangan daerah gue yang jelek, mana mungkin pas main PUBG sama HOK lancar jaya nggak ada merahnya. Tapi pas main ML na'udzubillah lag nya, jarang ijo selalu merah. Kalo kayak gini dari yang tadinya nyaman jadi nggak lagi. Pliss lah moonton, kalo memang ini bug sinyal, di fix biar kita para player nyaman. Gue sih nggak masalah sama dark sistem yang emang bertebaran, tapi kalo sinyal nggak bisa gue tolerir. Ganggu parah.",sumpah gak nyaman banget sinyal ml kalo jariangan daerah gue jelek pas main pubg hok lancar jaya merah pas main ml naudzubillah lag nya jarang ijo merah kalo kayak gin nyaman pliss moonton kalo bug sinyal fix biar player nyaman gue sih dark sistem emang tebar kalo sinyal gue tolerir ganggu parah,1,Auliana268,Negatif
2025-03-08 04:55:10,bantuin mitik monton ai love you monton gue main dari 2019,bantuin mitik monton ai love you monton gue main 2019,5,Raffa Putra,Positif
2025-03-08 04:54:48,Kasih kalah aja terus,kasih kalah aja,5,Ibnu mahdi Rahmansyah,Positif
2025-03-08 04:54:45,Karena mobile legends nya pas loading Ada beers nya makannya saya beri bintang Satu,mobile legends nya pas loading beers nya makan bintang,1,Feby Yolla,Negatif
2025-03-08 04:53:52,Karena Moonton nggak konsisten dalam memberikan kemenangan untuk pemainnya.Moonton ngga adil dalam memberikan kemerdekaan untuk pemain,moonton konsisten menang pemainnyamoonton ngga adil merdeka main,1,Miftahuljannah Titta,Negatif
2025-03-08 04:52:27,GG Garena😁,gg garena,4,Cui Dil,Positif
2025-03-08 04:51:57,Jelek,jelek,1,Dimas Novalio,Negatif
2025-03-08 04:51:48,"Game bagus, lebih bagus lagi kalo abis win streak jangan di bikin lose streak",game bagus bagus kalo abis win streak bikin lose streak,1,Elang Ragil,Negatif
2025-03-08 04:51:09,Kenapa kalo epic temannya GK enak gak kompak,kalo epic teman gk enak gak kompak,1,Sam - Kifor,Negatif
2025-03-08 04:48:50,Game nya bagus seru tapi jaringan nya lag bgt padahal jaringan gua hijo ga merah anehh kalah trs gara² lag padahal jaringan gua bagus!!!!!! Udh bnr main mlh patah²,game nya bagus seru jaring nya lag bgt jaring gua hijo ga merah anehh kalah trs gara lag jaring gua bagus udh bnr main mlh patah,1,Juni carolina,Negatif
2025-03-08 04:48:13,Game gajelas girilan mau naik pangkat temennya gakelas banget muak maen ml bertaun² tim kaya eek,game gajelas girilan pangkat temennya gakelas banget muak maen ml taun tim kaya eek,1,Satrio Astro Wijoyo,Negatif
2025-03-08 04:44:51,game tolol banyak drak system lebih baik FF DAN HOK moonton tolol,game tolol drak system ff hok moonton tolol,1,rifdah,Negatif
2025-03-08 04:44:42,PRO,pro,5,Alif Agung,Positif
2025-03-08 04:43:55,Gamemya bagus tapi jangan kasih jaringan leg lah monton,gamemya bagus kasih jaring leg monton,1,Sis Hartono,Negatif
2025-03-08 04:43:54,Game nya bagus tapi kalo buat yang ram nya dikit ngak bisa liat Hero lain nya,game nya bagus kalo ram nya dikit ngak liat hero nya,5,Putri Putri,Positif
2025-03-08 04:43:12,Teman main game di saat boring,teman main game boring,5,Aisyah Wahal 052,Positif
2025-03-08 04:43:06,Seru bisa dimainkan sejara offline kekurangan nya di kartu kredit sekor,seru main jara offline kurang nya kartu kredit kor,5,noerbanie Alcantara,Positif
2025-03-08 04:41:57,Gamenya seru,gamenya seru,5,Mardy Alfaraas,Positif
2025-03-08 04:41:40,Game ini sangat bagus untuk di mainkan tapi masih ada orang yang berkata kasar,game bagus main orang kasar,4,siti mariyam,Positif
2025-03-08 04:41:03,Mati suri,mati suri,1,Faris Halpoobsksg,Negatif
2025-03-08 04:39:54,Seru Bgt,seru bgt,5,Siska Astiria,Positif
2025-03-08 04:39:18,Bagus bgt,bagus bgt,5,Ithox Fara,Positif
2025-03-08 04:39:16,Permainan ini sangat baik banyak heronya,main hero,5,Fuya Fuyama hito,Positif
2025-03-08 04:38:24,Tolong moonton jangan apa apa pake diamond,moonton pake diamond,5,Kang Woh,Positif
2025-03-08 04:37:33,"Kurang baik saya mau pensi aja Udh jelas"" saya main gendong"" ini main di metick loh tetep aja ketemu tim bot poke gak bisa main lagi males saya main lagi",pensi aja udh main gendong main metick loh tetep aja ketemu tim bot poke gak main males main,1,Alit Manis,Negatif
2025-03-08 04:37:03,JANGAN DI DOWNDLOAD,downdload,1,Ahmad Farhan,Negatif
2025-03-08 04:37:00,Kok gak ada pitur emot nya sih,gak pitur emot nya sih,1,Nurul,Negatif
2025-03-08 04:36:53,Game ga jelas game aneh ngasih tim yg ikhlas lah ton moonton,game ga game aneh ngasih tim yg ikhlas ton moonton,1,Alpin Permana,Negatif
2025-03-08 04:36:14,"Game draksistem,masa Mabar tiba"" teman gua di mets lain dia menang gua kalah padahal satu party an",game draksistemmasa mabar teman gua mets menang gua kalah party an,1,YK,Negatif
2025-03-08 04:35:59,"sistem buruk, draft pick aneh, gajelas",sistem buruk draft pick aneh gajelas,1,Ghaitsa Dzikra Fitri Nurwahida,Negatif
2025-03-08 04:35:00,Da pet tim gak setara musuh jago,da pet tim gak tara musuh jago,1,Akbar Maulana,Negatif
2025-03-08 04:34:25,Suka banget,suka banget,5,Almira Grogol,Positif
2025-03-08 04:33:45,Karena sangat seru,seru,5,Nuri Mouca,Positif
2025-03-08 04:33:36,Menghibur di bulan ramadhan ini 😇,hibur ramadhan ,5,Matsodik Sodik,Positif
2025-03-08 04:33:05,"Moontod, tolong aktif kan protection bintang saya, saya capek bermain dengan dari sistem anda, tolong untuk montod aktifin lah protection bintangku, buat apa protection bintang sayan kalo disimpan, mana ga permanen, gunanya apa, beli hero gabisa buat apaaa montod, tolong aktifkan yanjeng",moontod aktif protection bintang capek main sistem montod aktifin protection bintang protection bintang sayan kalo simpan ga permanen guna beli hero gabisa apaaa montod aktif yanjeng,1,Soleh Udin,Negatif
2025-03-08 04:32:59,"Jaminan skin Beyond the clouds, sudah gaca 10 kali cuman dapat trial, mohon dibantu",jamin skin beyond the clouds gaca 10 kali cuman trial mohon bantu,1,Iwan Kurniawan,Negatif
2025-03-08 04:32:53,game ga adil,game ga adil,1,Huda Martono,Negatif
2025-03-08 04:32:08,"Moonton tolong lah berikan kompensasi apabila teman satu tim ada yg AFK itu tidak seimbang di permainan, cape jika push rank malah kalah akibat ada yang AFK",moonton kompensasi teman tim yg afk imbang main cape push rank kalah akibat afk,3,Ultraman Zero,Netral
2025-03-08 04:31:32,Vixtory,vixtory,5,Dipskiy Soekamti,Positif
2025-03-08 04:31:19,Ini game nya bagus tapi ga bisa lompat Hahahahahhahah,game nya bagus ga lompat hahahahahhahah,3,Putra Pandawa Yudhistira,Netral
2025-03-08 04:30:57,Game ini sangat seru dan Manantang Dan tolong dong monton dark sistem dihapus dari mobile legends,game seru manantang monton dark sistem hapus mobile legends,5,Athallah Habibi Al wafi,Positif
