Date,Text,Score,Username,Sentiment
2025-03-20 15:41:37,"game stress montoon keteraluan saya ga melakukan cheater tiba² di baned 30 tahun, tolong itu perbaiki sistemnya yang beneran cheat ama kaga jangan di buat auto yang engga cheat jadi ikutan ke ban",1,Frozen Gamming,Negatif
2025-03-20 15:41:37,hapus drak sistem Pokok nya,1,Zaliahmad1990 Ghozali,Negatif
2025-03-20 15:41:35,"ml kenapa setelah update kalea kok gua lagi main tiba tiba ga bisa gerak padahal jaringan lancar dan coba login ulang ga bisa ini bug atau hp saya,tolong di perbaiki 😔",1,Ilman Ilman,Negatif
2025-03-20 15:41:35,👍,5,Ali M,Positif
2025-03-20 15:41:19,Ngbug gabisa login stuck di loding,1,Maulana Jeffri,Negatif
2025-03-20 15:41:09,"game apa ini banyak masalah nya, di kasih dark sistem terus, jaringan nya hilang"" kalau war langsung hilang jaringan, jaringan bagus ga ada war. game tolol.",1,adhe wijaya,Negatif
2025-03-20 15:40:48,"kalo abis reset season di sesuain lah montoon,ex glory ya ketemu tim nya yang ex glory,jangan di temuin sama Mawi legend rank tertinggi nya game rusak gajelas",2,zidan akmal01,Negatif
2025-03-20 15:40:37,🤬,2,Nikma Nikma,Negatif
2025-03-20 15:40:18,sya kecewa kepada monton tiba tiba main langsung ngelek ngk bisa login tgl 20 maret,1,Peredator Pemakan,Negatif
2025-03-20 15:40:11,"bug lawak,",1,Farhan Larfaking,Negatif
2025-03-20 15:40:03,setelah update saya mengalami rash dan belum difix,1,mashish,Negatif
2025-03-20 15:39:47,"semenjak update terbaru bug banyak sekali, tolong di perbaiki bug²nya",1,Jenry Arief (Ari),Negatif
2025-03-20 15:39:40,"game cacat udah update malah tiba"" macet game nya bukan soal hp nya tapi game nya mmng yang rusak udah 2 kali tiba""macet ga bisa gerak heronya jalan di tempat doang jaringan bagus ketika realod malah nga bisa login dan menghubungkan padahal jaringan keceng kocakkkkk kalau mau update minimal perhatikan dulu tololll",1,Dimas Setiawan,Negatif
2025-03-20 15:39:35,game aneh ga melakukan cheat di ban 30 tahun kocak emang montoon,5,satoshi riyoshi,Positif
2025-03-20 15:39:26,ok,1,nia imoet,Negatif
2025-03-20 15:39:26,the best game in the world♥️,5,Aryuda Febrian Damara,Positif
2025-03-20 15:39:21,pertengahan pertandingan tiba tiba lag pas login ulang udah beberapa kali tetap ajah gak bisa. hal kayak gini nih bikin males main,1,Irsal •,Negatif
2025-03-20 15:39:13,"gamenya rusak atau gimana nih, dalam game tiba"" gabisa gerak trus kita login ulang udh gabisa masuk lagi ke gamenya, ini cheat atau bak ml yah?",1,Krosye Gurlete,Negatif
2025-03-20 15:39:02,"sinyal suka gangguan,geam burik sinyal suka gangguan gak jelas bikin abis kredit skor aja gangguannya sinyal",1,Panggil ajayin12,Negatif
2025-03-20 15:38:58,koneksi padahal bagus kenpa pas main rank udah kek robot jalannya,1,Mhm Ramdani,Negatif
2025-03-20 15:38:56,"apa apaan servernya drop terus, lawak kali muntun, capek gw nhe push",1,Muhammad Naim,Negatif
2025-03-20 15:38:55,game burik masa hp ram 8gb sinyal bagus tapi main lag parah dasar game sampah terus update tapi sinyal jelek terus game anjink sampah kalah jauh sama game HOK,1,Arie Sinaga,Negatif
2025-03-20 15:38:24,"apalah min masih ada aja yang pake cheat leg, hadeh bikin cape push rank aja",1,Akbar,Negatif
2025-03-20 15:38:20,apalah orang lagi enak enaknya ngelock mm musuh pake Natalia malah ngeleg pas login ulang malah ngestuck di kasih cobaan Mulu anj Ama ni game,2,Khairanian ian,Negatif
2025-03-20 15:38:19,jaringan buruk,1,03_Muh Riswan Yusuf,Negatif
2025-03-20 15:38:12,paras habis penurunan langsung ngelek,5,VANILI Channel,Positif
2025-03-20 15:38:07,"GAME BURIK TIBA-TIBA HILANG JAIRNGAN, MALAH SURUH HUBUNGI CUSTOMER SERVICE GAK JELAS BANGET INI GAME, BURUK, BUSUK GAK GUNA TIDAK BERFAEDAH BUANG2 WAKTU HAPPY KAGAK STERESS IYA GARA SISTEM GAK GUNA MASIH MAIN TIBA-TIBA HILANG DI SURUH HUBUNGI CUSTOMER SERVICE SEMOGA GAME BURIK BURUK INI SEGERA KALAH SAING DAN TIDAK ADA PEMINAT LAGI RATING ------------------1000000000000000000000",1,Muhammad Asri,Negatif
2025-03-20 15:38:01,"In game lag dan terus2an menghubungkan kembali, tolong di perbaiki entah bug atau pengguna room RW.",1,Pengguna Google,Negatif
2025-03-20 15:37:53,bahaya ada cheat jaringan,1,Egy Iswandi,Negatif
2025-03-20 15:37:46,knpa sudah di revamp /update hook Franco jadi lambat montoon?,1,Fazero Cassanova,Negatif
2025-03-20 15:37:43,jaringan bagus.. pas sedang main rank.. tiba tiba ping merah.. game ampas.. buang buang waktu,1,Khairul Anwar,Negatif
2025-03-20 15:37:41,SISTEM BAGI TEAM GAJELAS,1,M. El Nino Al Ghozali,Negatif
2025-03-20 15:37:38,seperti biasa saya setiap main solo selalu mendapatkan tim yang sangat tidak jago dan saya hanya sendirian mendapatkan kekalahan setiap saya main menang pun jarang heran saya,2,FANIANSYAH,Negatif
2025-03-20 15:37:29,"gw lagi main tiba tiba server down, buka apk lain jaringannya lancar, pas balik game dibikin afk, slah game nya malah gw yang kena hukuman, moonton dongo",1,W O L F,Negatif
2025-03-20 15:37:08,saya beri bintang 1 karena saya main rank trio sudah menang tapi kenapa bintang nya tidak nambah history nya juga tidak ada percuma saya main kalau bintang tidak nambah,1,Nayla Syifa,Negatif
2025-03-20 15:37:05,"TOLONG PIHAK MONTOOD, KERJA DIKIT NAPA SIH? MASIH BANYAK ORANG YANG PAKAI CHEAT KOK DI ABAIKAN? COLLAB SANA SINI BISA, BIKIN TURNAMEN KELAS DUNIA BISA, BERANTAS CHEATER AJA GAK BECUS, LU KERJA APA GIMANA SIH? KOCAK!!!!",2,Adib Shafiq,Negatif
2025-03-20 15:36:52,"game asu lagi dalam pertandingan sinyal bagus tiba2 koneksi terputus,",1,Alif Butur,Negatif
2025-03-20 15:36:41,"game cacat,gilirang masuk drafpick jmalah langsung ngebug,alasan jaringan padahal jaringan lancar2 aja,makin gini makin ampas gamenya, TAIIIII",1,ADri Dragnel,Negatif
2025-03-20 15:36:38,seru beud,5,Mr.hamka Hamka Khian,Positif
2025-03-20 15:36:16,jaringan bagus hp baru knp pas war udah mau menang knp tiba2 keluar terus pas masuk udah GK bisa lagi update macam apa ini atau kebanyakan chit lawak game,1,Madhy RB,Negatif
2025-03-20 15:36:15,moonton tolong jaringan kami,2,markus yufen,Negatif
2025-03-20 15:36:07,ni ml knp dah padahal gua udh pake wifi ditambah ping nya juga masih bagus eh malah nge lag parah terus gak bisa masuk lagi.Gua udh download ulang tapi pas mau masuk gak bisa Tolonglah moonton di perbaiki sikit aja ni game mu hadehhh,1,Nover Znn,Negatif
2025-03-20 15:35:58,"kok sekarang saat main tiba tiba aplikasinya berhenti gak bisa gerak sendiri padahal koneksi jaringan bagus, pas login ulang gak bisa masuk aplikasi. mobile legends udah jelek banget sekarang",1,La Ode Safarudin,Negatif
2025-03-20 15:35:43,match making ga jelas,1,Revalina Putrie,Negatif
2025-03-20 15:35:42,banyak chite jaringan,1,RAIDER GAMING22,Negatif
2025-03-20 15:35:36,"gimana sih ini moonton, jaringan bagus tapi gak bisa main,",1,Angki Bawinto,Negatif
2025-03-20 15:35:30,"moonton kenapa awal season ini setiap main jaringan dalam game jelek Mulu padahal wifi lancar tapi pas main dalam game nya jeleknya minta ampun tapi kalau dalam lobby lancar banget,grgr jaringan jelek jadi kalah Mulu,tolong moonton perbaiki secepatnya.grgr jaringan jelek history awal season juga jelek grgr ini,tolong respon nya🙏🙏🙏",1,ABI GAMING,Negatif
2025-03-20 15:35:14,monton anjeng . aku mau imortal anjinghhh kau kasih tim aku kek babi sedangkan musuh kek penjoko.. emng anjeng kau monton babi. pindah aku ke game sebelah,1,Ariayc Santoso,Negatif
2025-03-20 15:35:12,"gw rating ulang soalnya emosi lihatnya masa lagi main langsung mental jaringan baik semuanya bagus aja tapi langsung gak bisa masuk gem lagi gajelas banget, niat gak sih buat gem banyak banget bug nyaaaaaaaaa tolong lah ini lagi puasa bikin emosi aja😒😒",1,Muh. Reski Febryan,Negatif
2025-03-20 15:35:03,malas malasin main game ketemu drak sistem gw kalah 10 kali bukan itu saja hukumannya terlalu berat saat afk kan gw punya kredit scor 90 nah gw afk karna Kouta gw habis eh Mala turun 12 kredit scor gw udah lapor banding penurunga kredit scor eh masih aja GK di kembalikan normal jadi gw hapus padahal udah main 2 tahun tapi kredit scor gw tinggal 75 barusan gw afk habis Kouta pasti udah turun 12 scor tolong lah monton akun yamz apah gw kredit scor nya rendah karna gw afk itu karna habis Kouta,1,Sah Sahru,Negatif
2025-03-20 15:34:50,banyak cheat,1,Arifuddin 99,Negatif
2025-03-20 15:34:45,game ini sangat bagus👍,5,Palopo Atol,Positif
2025-03-20 15:34:33,gen ngebag padahal jaringan bagus ko pin ya mera mulu,3,Baha Anni,Netral
2025-03-20 15:34:26,aku aninstal aja ml.jaringan aman malah koneksi buruk,2,Bang Zhul,Negatif
2025-03-20 15:34:26,"5 game main dihonor bukannya enak malah stress. tolong lah atur ini game biar adil ketemu exp gajelas,mmnya miya,hypernya bloon gw sebagai user mid harus ngapain gila,walaupun udah gendong² kalo timnya kek buldog ya mw gimana lagi mendingan main valo gila😹😹 dari pada main game yang bikin stress ls 5 kali eventnya juga pembohong publik mungkin karna gak ada influence udah sepi nih game.aduh sekarang juga ls Mulu abis reset bukannya ws malah ls,musuhnya Abang abangan timnya adek adek an",1,Komang Praveen,Negatif
2025-03-20 15:34:18,kualitas jaringan mu perbaiki jgn cuman skin yang di update,1,Gunawan Guna,Negatif
2025-03-20 15:34:17,mohon koneksi jarigan server nya di perbaiki,1,Muhammad Resky,Negatif
2025-03-20 15:34:15,Semakin GK jls slalu ping trs bug bnyk gems rusak ..mending pindah di HOK aj,1,Ika Ratnasari,Negatif
2025-03-20 15:34:05,"setelah pembaharua . masi asik2 main mala reset sendiri. tiba2 jaringan hilang lah. reset masuk kembali menunggu hampir 1 jam. tiba2 bintang hilang dapat report dri tim, bintang hilang kredit skor turun. game apaan nih.",1,NR ONE,Negatif
2025-03-20 15:33:56,game jellek sekali padahal jaringan ku bgus ko ngelek game rusak,1,Ahmad irsandi,Negatif
2025-03-20 15:33:55,mohon di bantu Banyak cit jaringann Moonton ini gmanaa tolongg lahhh,3,muh wahyu Pratama irwan,Netral
2025-03-20 15:33:52,"makin kesini bug nya makin gak jelas masa tiba"" ngelag, terus relog malah gak bisa masuk"" malah ngestak di loading screen",1,Reza Dwi Prasetya,Negatif
2025-03-20 15:33:46,ok,5,Vheny Muhajirin,Positif
2025-03-20 15:33:45,"bug benerin tuh jaringan aman tiba tiba jadi ngeleg, pas login kembali malah ngestak terus gk bisa login pepek",1,Aditya Aditya,Negatif
2025-03-20 15:33:24,"Jaringan Bagus tapi ngelag,ngelagnya semua player lagi aneh banget",2,Muh syawal,Negatif
2025-03-20 15:33:23,Game Rusak......,1,DARLEX AJA,Negatif
2025-03-20 15:33:06,"dear moonton please fix the bug in the game, the network is very smooth but when playing the game/in game it will freeze and show that there is no network, this really affects the performance of the game, even if try to login back in the game, it still gives AFK match and reduces points, me and others really complain about this, please fix this soon, because we love this game, it's just that the bugs make us feel uncomfortable with this game!!.~Complaints from mlbb players",3,Andi Aulia,Netral
2025-03-20 15:33:05,"Woy monton, benerin sistemnya gua dapet tim darksistem mulu gak ada otak bah pao game burik",2,afdal_rhmnn,Negatif
2025-03-20 15:33:04,"taii jaringan baguss tiba tiba ngeleg, padahal lagi main giliran di reloag malah gak mau masuk",1,muhammad Rachman,Negatif
2025-03-20 15:32:50,oi moonton kok saya tidak bisa login padahal koneksi saya stabil apalah nih gem,1,Egit Mahaputra,Negatif
2025-03-20 15:32:46,monton ngentod lagi mau push malah disconnect mana kagak bisa masuk lagi,1,Ahmed Assegaf,Negatif
2025-03-20 15:32:33,"monton mohon lah hilangin skrip/file yang menyebabkan leg gimana orang mau main pas setelah reset season malah banyk yang make file/skrip leg bisa"" bnyk player pensi, mohon lahh montonn aku bakal kasih bintang 5 klo cheat atau skrip file leg hilang,jaringanku normal main game lain aman giliran mau push ml malah kayak anj tolong hilangin biar kami enak mainnya,sekian terima kasih",1,Agus Kurniawan,Negatif
2025-03-20 15:32:14,game terngelag habis season pada ngelag musuh juga pada ngikut lag tolong di perbaikin lh moontonn!!!!,1,el amba,Negatif
2025-03-20 15:31:59,apsih muntun jringan laq mulu,2,Mutia,Negatif
2025-03-20 15:31:55,sinyal di in game delay ppqqiii ml skrang,1,Andi Permadi,Negatif
2025-03-20 15:31:51,"banyak dark system, suka lag tiba²",1,Ujang Mohammad,Negatif
2025-03-20 15:31:49,gk enak ngeleg ngeleg bikin kesel gk kyak season sbelum nya,1,Usman Permana,Negatif
2025-03-20 15:31:39,baikin lgi servernya lol,1,Muh Nugraha Hidayat,Negatif
2025-03-20 15:31:30,tolong untuk monton di perbaiki masalah lag dalam pertandingan setelah season sering kali jaringan bermasalah ketika dalam pertandingan dan mach macking yg tidak seimbang tolong di perbaiki,2,MOHAMMAD KHOIRUL ROSYID,Negatif
2025-03-20 15:31:22,sehat sehat montood,1,Kyy Takanashi,Negatif
2025-03-20 15:31:00,"Moonton baik, server di downkan mahal",1,Fahri Gibran,Negatif
2025-03-20 15:30:51,tiba tiba ngefrezz kocak,1,aryadi pratama,Negatif
2025-03-20 15:30:51,"makin parah setelah updet banyak bug nya, semntra main tiba2 ngefriz di restar malah nga bisa loging, game aneh",1,Irfan Gemini,Negatif
2025-03-20 15:30:50,game tai,1,Revi Nova,Negatif
2025-03-20 15:30:49,game cacat,1,Efron Eppo,Negatif
2025-03-20 15:30:41,"ini kanapa lagi monton gw habis updet sisen ini mlh signal gw merah tapi msih bisa gw pakek nonton tik tok , ig, youtobe msih lancar tapi pas login ml signal nya ilang dan leg permanin smpe "" afk berkali kali dan gw di game lain gak kaya gtu tuh",1,DEX_ DHYRLAND,Negatif
2025-03-20 15:30:40,game rusak,1,Muhammad Yasin,Negatif
2025-03-20 15:30:37,"tolong pihak moonton janganlah kasih riset season banyak anak"" kecil yang troll di ganti apa lah selain riset season kita yg solo player udah susah"" naikin rank",3,Kojer Nakuratep,Netral
2025-03-20 15:30:31,"Gamenya menurut gw bagus, tapi ada keluhan dari gw, yaitu pembagian timnya yang kurang. Udah itu aja sih keluhannya",3,pratama geming,Netral
2025-03-20 15:30:30,kok tiba tiba ngga bisa terhubung game,1,andi fachri,Negatif
2025-03-20 15:30:25,Game rusak Dah banyak ChetNya,1,Abraham Lebang,Negatif
2025-03-20 15:30:19,knp ini server da hang ini tidk bisa di main kan mana lagunya padahal jaringan bagus,1,Hadi Ido,Negatif
2025-03-20 15:30:15,"Kenapa tiba"" keluar,tolong diperbaiki",4,RIV gaming,Positif
2025-03-20 15:30:13,gak jelas bet game apaan ngeleg begini semenjak update,1,Bintang ADI,Negatif
2025-03-20 15:30:11,NGE LAG AWAL SEASON BLOK,1,Ahmad Algazali,Negatif
2025-03-20 15:30:10,Maaf moonton saya kurangi satu bintang nya karena sering lag padahal jaringannya udh bagus,1,MUH REZA NURDING,Negatif
2025-03-20 15:30:03,kenapa aku kasi tiga bintang karena dpt tim dark sistem beban gak pandai main tapi untuk grafik nya bagus indah tapi tolong kalau di grandmaster jangan kasi turun bintang please montoon,3,Adwa Sauqi ramadhan,Netral
2025-03-20 15:30:01,tolong perbaiki masa mats setiap main selalu hilang jaringan kukasih bintang 1,1,Jalu Jalu mo,Negatif
2025-03-20 15:29:51,ngebug njirr,1,Arif Fahrudin,Negatif
2025-03-20 15:29:48,lagi ngegame malah koneksi putus padahal jaringan bagus bgt gblk,1,Mubarak Idris,Negatif
2025-03-20 15:29:46,"server bagusin lagii, habis season makin jelek",1,Andi Lava,Negatif
2025-03-20 15:29:44,game haram habisin uang saja,1,FAJRI,Negatif
2025-03-20 15:29:40,"semenjak udah update, game ini makin jelek soal jaringan. saya udah ngalamin ke 3 kalinya seperti ini awal season. masalahnya jaringannya error di pertengahan game, bkn cman gw tapi temen setim gw jga gitu, kalo bisa di perbaiki,masa masalah jaringan aja gk bisa di atasi, padahal sya pake wifi, mohon di perbaiki🙏",1,Rezha Pahlevi,Negatif
2025-03-20 15:29:34,Tolong jaringan ml nya di perbaiki dulu bos,5,Wawan gaming,Positif
2025-03-20 15:29:23,bagus,5,Raditia Wicaksana,Positif
2025-03-20 15:29:19,makin hari makin buruk jaringan buruk auto uninstal,1,FIXXI gaming,Negatif
2025-03-20 15:29:17,pas main langsung logout,1,Andi Ibnu,Negatif
2025-03-20 15:29:15,Game rusakk masa lagi main malah lag merah jaringannya padahal di aplikasi lain enggak masih bagus jaringan nya pas saya login ulang malah ngestuck di loading tolong perbaiki,1,Marina Latu,Negatif
2025-03-20 15:29:09,sering bug jringan pas in game,1,andi rifki,Negatif
2025-03-20 15:28:55,game rusak jaringan bagus di menit pertengahan tiba2 jaringan lag terus keluar ke loby sendiri tolong di perbaiki ini game moonton #gamerusak,1,Muh Yusuf,Negatif
2025-03-20 15:28:54,"Wifi lancar, jaringan lancar, ko bisa lag? sistem apaan nih? kalau ada problem atau maintenance mah mesti bilang dlu, ini sementara main malah lag.",1,Ikhsan Sri Muharram,Negatif
2025-03-20 15:28:48,sagt suka,5,Yogi Andrianto,Positif
2025-03-20 15:28:38,"game asu, jaringan bagus malah koneksi terputus",1,Hajir lo,Negatif
2025-03-20 15:28:35,minimal perbaiki jaringan jaringan bagus ga bisa jalan gimana sih moonton gua report mau ga kalo ga diperbaiki lagi awas ya🤬🤬🤬🤬🤬,1,RKY ZHASK,Negatif
2025-03-20 15:28:27,good,5,Taufiq,Positif
2025-03-20 15:28:26,moonton lu harus notice tadi gua main rank ngelag lima lima nya apasih ini moonton tolong lah di perbaikin ini bag bag kaya gini,2,Khalif Khalif,Negatif
2025-03-20 15:28:21,tolong perbaiki bug jaringan nya moonton,1,Idaman Semua,Negatif
2025-03-20 15:28:15,game haram,1,Wahyu Di,Negatif
2025-03-20 15:28:11,"gems rusak ada di dalam gems malah ta kancing co padahal jaringan normal¹ aja, gems rusak",1,Ridho Saputra Rido,Negatif
2025-03-20 15:28:09,"Tolong perbaiki masalah crush saat saya bermain ini kadang kadang berhenti,padahal sinyal bagus terus berhenti ya tolong di perbaiki dan pas Mabar kenapa sinyalnya jadi jelek tolong perbaiki 😠😠😠😠😠😠😠😠😠",1,Supri Oppo,Negatif
2025-03-20 15:27:59,game cacat lagi dalam game malah lag. pas relog malah update. game cacat memang,1,Ikga Pratiwi,Negatif
2025-03-20 15:27:56,moonton tololll kadang lagi main tapi malah down in serverrr kontoll,1,guten inc,Negatif
2025-03-20 15:27:54,"min ini abis update ngebug kah? masa baru main dah bagus"" malah keluar ga bisa login ulang jga apalah",3,Reza Ra,Netral
2025-03-20 15:27:51,kok ngak bsa masuk padahal jringan bagus,3,Restu Ilham,Netral
2025-03-20 15:27:38,"GAME RUSAK,LAG MULU",1,Muhammad Hasbi,Negatif
2025-03-20 15:27:36,"PERBAIKI LAGI PERFOMANYA , TIAP GANTI SEASON JARINGAN NYA GA STABIL TERUS",3,Diki Alamsyah,Netral
2025-03-20 15:27:04,rusak lag banget,1,Apin Taslim,Negatif
2025-03-20 15:26:45,"Sangat² kecewa denganupdate season baru jaringan bagus tapi menghubungkan ulang, agak lain moonton",1,SIMAN DARSIMAN,Negatif
2025-03-20 15:26:43,gem asu kala mulu gara citer,1,Wahyu Sidrap,Negatif
2025-03-20 15:26:27,Down server,1,Andi Aqram Haq,Negatif
2025-03-20 15:26:26,Lo kalo ada masalah sama gw bilang moonton kalo ada personal bilang aj sini,1,Piyan Sakaw,Negatif
2025-03-20 15:26:24,nonton rusakk,1,Muh Ayub Saputra,Negatif
2025-03-20 15:25:51,game rusak pin ngga jelas,1,Muh Syifa,Negatif
2025-03-20 15:25:50,"PERBAIKI MATCHMAKING NYA LAHHHHHH MASA GW EPIC KETEMU GLORY, WOE YANG BENER AJA GIMANA MAU NAIK NAIKKKKKKKKKK",1,anonymous anonymous,Negatif
2025-03-20 15:25:49,woy Moonton koo lag padahal jaringan enak,1,Anam art,Negatif
2025-03-20 15:25:34,oi perbaiki koneksi tolol,1,TNT GaLir20,Negatif
2025-03-20 15:25:32,"woyy perbaiki server mu, udh 2 hari main lag mulu kocak!! rugi2in waktu",1,Onconk Mr,Negatif
2025-03-20 15:25:07,"anjg perbaiki updetenya ngeleg ngeleg tiba""ngeleg pin hijau",1,Ichal Wh,Negatif
2025-03-20 15:24:46,Perbaiki servermu munton bukang,1,Black Panther,Negatif
2025-03-20 15:24:39,"game tolol server rusak ngen sinyal hijau tapi malah lag, semuanya ga tim ga musuh lag semua",1,Ragil Saja,Negatif
2025-03-20 15:24:05,"Montoon babi, masa hero yang gk meta nerf asuuu",5,Firman .m,Positif
